#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"Microsoft SQL Server Compact 3.5 SP2 ENU","3.5.8080.0"
"NI-Mesa","12.0.7.0"
"NI AFW UI Assemblies","17.00.49153"
"NI LabVIEW Runtime Interop 2017","17.02.49152"
"Math Kernel Libraries","15.01.49152"
"Open XML SDK 2.5 for Microsoft Office","2.5.5631"
"NI Software Provider for MAX 17.0.0","17.00.49152"
"NI LabVIEW 2017 Run-Time Engine Web Server","17.0.65"
"AzureTools.Notifications","2.1.10731.1602"
"NI Measurement & Automation Explorer 17.5.0","17.50.49152"
"Microsoft ASP.NET MVC 4 Runtime","4.0.40804.0"
"NI VC2010RTE x86","10.10.49152"
"NI LabVIEW 2017 Real-Time NBFifo","17.0.49152"
"NI Measurement Studio Recipe Processor","8.0.0101"
"NI USI 17.0.0","17.0.06654"
"Windows SDK Desktop Headers arm64","10.1.17763.132"
"NI Uninstaller 17.5.0","17.50.49153"
"Memory Profiler","12.0.40629"
"NI LabVIEW 2015 Real-Time NBFifo","15.0.49152"
"WCF Data Services 5.6.0 Runtime","5.6.61587.0"
"Microsoft C++ REST SDK for Visual Studio 2013","1.0"
"Microsoft SQL Server 2014 T-SQL Language Service ","12.0.2000.8"
"LocalESPC Dev12","8.100.25984"
"Windows SDK Desktop Headers x64","10.1.17763.132"
"Microsoft Visual Studio 2013 Team Explorer Language Pack - ENU","12.0.21005"
"Java Auto Updater","2.8.191.12"
"SDK ARM Redistributables","10.1.17763.132"
"Microsoft .NET Framework 4.5 SDK","4.5.50710"
"Microsoft System CLR Types for SQL Server 2014","12.0.2000.8"
"Microsoft SharePoint 2013 Developer Tools for Visual Studio 2012 Nuget Package","12.0.30626"
"NI VC2005MSMs x86","8.05.0"
"NI LabVIEW Runtime 2015 SP1 Non-English Support.","15.11.49152"
"NI-VISA .NET Runtime 17.5.0","17.50.49152"
"NI System Logging Utilities","17.00.49153"
"Windows App Certification Kit SupportedApiList x86","10.1.17763.132"
"NI LabVIEW 2017 Deployable License","17.0.209"
"NI LabVIEW 2016 Run-Time Engine Web Server","16.01.49152"
"Windows SDK Desktop Libs arm64","10.1.17763.132"
"NI-RIO FPGA Interface Driver Support 17.0","17.00.49152"
"NI Portable Configuration 17.0.0","17.00.49152"
"Microsoft Visual Studio 2013 Shell (Minimum)","12.0.21005"
"Microsoft Visual C++ 2013 Microsoft Foundation Class Libraries","12.0.21005"
"NI FIRST Robotics Competition Gamepad Tool","17.0.245"
"Windows Software Development Kit for Windows Store Apps DirectX x86 Remote","8.100.26936"
"Microsoft .NET Framework 4.5 Multi-Targeting Pack","4.5.50710"
"Windows Phone 8.1 SDK - ARM","8.1.15116"
"Memory Profiler","12.0.40629"
,
"NI Web Application Server 2017","17.0.57"
"Windows SDK Signing Tools","10.1.17763.132"
"Microsoft .NET Framework 4.7.2 SDK","4.7.03062"
"Behaviors SDK (Windows Phone) for Visual Studio 2013","12.0.50716.0"
"NI LabVIEW 2016 Real-Time NBFifo","16.0.49152"
"NI License Manager","4.00.49155"
"NI PXI Platform Services Store Item 17.5.1","17.51.49152"
"Realtek Card Reader","10.0.14393.31228"
"NI DataSocket 5.5","5.50.49152"
"WCF RIA Services V1.0 SP2","4.1.62812.0"
"NI LabVIEW 2017 Deployment Framework","17.00.49152"
"NI-ORB 17.0","17.00.49153"
"NI-VISA ENET Passport 17.5.0","17.50.49152"
"Windows Phone 8.1 SDK - Desktop","8.1.15116"
"Universal CRT Redistributable","10.1.17763.132"
"NI Error Reporting Interface 17.0","17.00.49152"
"Windows Software Development Kit - Windows 10.0.17763.132","10.1.17763.132"
"Microsoft Visual C++ 2012 x86-x64 Compilers","11.0.60610"
"TypeScript Power Tool","1.0.5.0"
"Google Update Helper","1.3.33.17"
"AMD Settings","2017.1026.2023.34870"
"Visual F# 3.1 VS","12.0.21005"
"NI CompactRIO 17.0","17.00.49152"
"NI AFW Custom UI Assemblies","17.00.49153"
"Microsoft ASP.NET Web Pages 2 - Visual Studio 2013 - ENU","4.1.21001.0"
"NI-VISA TULIP Passport 17.5.0","17.50.49152"
"NI-VISA PXI Passport 17.5.0","17.50.49152"
"NI LabVIEW DSC Module Runtime 2016 f2","16.0.184"
"Microsoft SQL Server Data Tools Build Utilities - enu (12.0.30919.1)","12.0.30919.1"
"Microsoft Visual C++ 2013 x86-x64 Compilers","12.0.21005"
"NI Vision 2017 Training Interfaces","17.00.49153"
"NI Logos 5.9","5.90.49152"
"Microsoft Office Developer Tools for Visual Studio ENU Language Pack","12.0.30626"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215","14.0.24215"
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","4.5.50932"
"Microsoft Advertising SDK for Windows 8.1 - ENU","8.1.30809.0"
"Microsoft Advertising SDK for Windows Phone 8.1 XAML - ENU","8.1.40427.0"
"NI-RIO USBLAN 17.0","17.00.49152"
"Microsoft Visual C++ 2013 32bit Compilers - ENU Resources","12.0.21005"
"MSI Development Tools","10.1.17763.132"
